Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-07-26,1843.75,1843.75,1843.75,1843.75,0,0,0
1999-07-27,1864.38,1864.38,1864.38,1864.38,0,0,0
1999-07-28,1868.05,1868.05,1868.05,1868.05,0,0,0
1999-07-29,1835.02,1835.02,1835.02,1835.02,0,0,0
1999-07-30,1818.18,1818.18,1818.18,1818.18,0,0,0
1999-08-02,1817.27,1817.27,1817.27,1817.27,0,0,0
1999-08-03,1809.3,1809.3,1809.3,1809.3,0,0,0
1999-08-04,1786.51,1786.51,1786.51,1786.51,0,0,0
1999-08-05,1798.11,1798.11,1798.11,1798.11,0,0,0
1999-08-06,1780.06,1780.06,1780.06,1780.06,0,0,0
1999-08-09,1776.68,1776.68,1776.68,1776.68,0,0,0
1999-08-10,1754.33,1754.33,1754.33,1754.33,0,0,0
1999-08-11,1782.85,1782.85,1782.85,1782.85,0,0,0
1999-08-12,1777.75,1777.75,1777.75,1777.75,0,0,0
1999-08-13,1818.25,1818.25,1818.25,1818.25,0,0,0
1999-08-16,1822.53,1822.53,1822.53,1822.53,0,0,0
1999-08-17,1840.88,1840.88,1840.88,1840.88,0,0,0
1999-08-18,1825.56,1825.56,1825.56,1825.56,0,0,0
1999-08-19,1812.98,1812.98,1812.98,1812.98,0,0,0
1999-08-20,1830.82,1830.82,1830.82,1830.82,0,0,0
1999-08-23,1863.18,1863.18,1863.18,1863.18,0,0,0
1999-08-24,1867.68,1867.68,1867.68,1867.68,0,0,0
1999-08-25,1892.87,1892.87,1892.87,1892.87,0,0,0
1999-08-26,1865.79,1865.79,1865.79,1865.79,0,0,0
1999-08-27,1847.12,1847.12,1847.12,1847.12,0,0,0
1999-08-30,1814.11,1814.11,1814.11,1814.11,0,0,0
1999-08-31,1809.19,1809.19,1809.19,1809.19,0,0,0
1999-09-01,1824.2,1824.2,1824.2,1824.2,0,0,0
1999-09-02,1807.83,1807.83,1807.83,1807.83,0,0,0
1999-09-03,1860.15,1860.15,1860.15,1860.15,0,0,0
1999-09-07,1851.01,1851.01,1851.01,1851.01,0,0,0
1999-09-08,1842.56,1842.56,1842.56,1842.56,0,0,0
1999-09-09,1847.37,1847.37,1847.37,1847.37,0,0,0
